manufacturer,model_name,category,screen_size_inches,screen,cpu,cpu_manufacturer,cpu_speed,ram_gb,storage_1_type,storage_1_capacity_gb,storage_2_type,storage_2_capacity_gb,gpu,gpu_manufacturer,os,os_version,weight_kg,screen_resolution,price_euros
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,4.0,SSD,128.0,,,Intel HD Graphics 620,,No OS,Version Unknown,2.2,1920x1080,468.0
Asus,Q304UA-BHI5T11 (i5-7200U/6GB/1TB/FHD/W10),2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5,Intel,,6.0,HDD,1000.0,,,Intel HD Graphics 620,,Windows,10,1.5,1920x1080,639.01
Dell,XPS 15,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,8.0,SSD,256.0,,,Nvidia GeForce GTX 1050,,Windows,10,2.0,1920x1080,1820.0
Asus,ZenBook 3,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7,Intel,,16.0,SSD,512.0,,,Intel HD Graphics 620,,Windows,10,1.1,1920x1080,1900.0
Dell,Inspiron 7567,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,16.0,SSD ,256.0,HDD,1000.0,Nvidia GeForce GTX 1050 Ti,,Windows,10,2.62,1920x1080,1479.0
Lenovo,V330-15IKB (i5-8250U/4GB/256GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6,Intel,,4.0,SSD,256.0,,,Intel UHD Graphics 620,,Windows,10,1.8,1920x1080,829.0
Lenovo,Ideapad 320-15ISK,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2,Intel,,4.0,HDD,1000.0,,,Nvidia GeForce 920MX ,,Windows,10,2.2,1920x1080,579.0
Asus,X541NA-GO414T (N3350/8GB/1TB/W10),Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1,Intel,,8.0,HDD,1000.0,,,Intel HD Graphics 500,,Windows,10,2.0,1366x768,399.0
Asus,VivoBook Pro,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5,Intel,,8.0,HDD,1000.0,,,Nvidia GeForce GTX 1050,,Windows,10,1.99,1920x1080,906.62
Dell,XPS 13,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i5 8250U 1.6,Intel,,8.0,SSD,256.0,,,Intel UHD Graphics 620,,Windows,10,1.23,3200x1800,1869.0
Lenovo,IdeaPad 100S-14IBR,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6,Intel,,2.0,Flash Storage,32.0,,,Intel HD Graphics 400,,Windows,10,1.42,1366x768,249.0
Lenovo,Thinkpad Yoga,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.37,1920x1080,1757.42
Dell,XPS 15,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8,Intel,,16.0,SSD,1000.0,,,Nvidia GeForce GTX 1050,,Windows,10,2.06,3840x2160,2399.0
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,8.0,SSD ,128.0,HDD,1000.0,Nvidia GeForce GTX 1050M,,Windows,10,2.5,1920x1080,1109.0
HP,17-AK091ND (A9-9420/8GB/1TB/W10),Notebook,17.0,1600x900,AMD A9-Series 9420 3,AMD,,8.0,HDD,1000.0,,,AMD Radeon R5,,Windows,10,2.6,1600x900,520.9
Lenovo,ThinkPad X1,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7,Intel,,16.0,SSD,512.0,,,Intel HD Graphics 620,,Windows,10,1.14,1920x1080,2450.0
Asus,ROG GL553VE-FY022,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,8.0,HDD,1000.0,,,Nvidia GeForce GTX 1050 Ti,,No OS,Version Unknown,2.5,1920x1080,1169.0
Acer,Extensa EX2540,Notebook,15.6,1366x768,Intel Core i3 6006U 2,Intel,,4.0,HDD,500.0,,,Intel HD Graphics 520,,Windows,10,2.4,1366x768,450.0
Lenovo,IdeaPad 100S-14IBR,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6,Intel,,4.0,Flash Storage,32.0,,,Intel HD Graphics,,Windows,10,1.43,1366x768,274.0
Acer,Swift 3,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,SSD,256.0,,,Intel Graphics 620,,Windows,10,1.8,1920x1080,919.0
Razer,Blade Pro,Gaming,14.0,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,16.0,SSD,256.0,,,Nvidia GeForce GTX 1060,,Windows,10,1.95,1920x1080,2599.0
Toshiba,Portege Z30-C-16J,Notebook,13.3,Full HD 1920x1080,Intel Core i5 6200U 2.3,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 520,,Windows,10,1.2,1920x1080,1213.0
Lenovo,Thinkpad X270,Ultrabook,12.5,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.36,1920x1080,1584.0
Asus,ROG G701VI,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6820HK 2.7,Intel,,32.0,SSD,512.0,,,Nvidia GeForce GTX 1080,,Windows,10,3.8,1920x1080,2799.0
Acer,A715-71G-59DH (i5-7300HQ/8GB/1TB/GeForce,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5,Intel,,8.0,HDD,1000.0,,,Nvidia GeForce GTX 1050,,Linux,,2.4,1920x1080,709.0
Dell,XPS 13,Ultrabook,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6,Intel,,8.0,SSD,256.0,,,Intel UHD Graphics 620,,Windows,10,1.2,1920x1080,1449.9
MSI,GL62M 7REX,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,8.0,SSD ,128.0,HDD,1000.0,Nvidia GeForce GTX 1050 Ti,,Windows,10,2.2,1920x1080,1191.8
HP,250 G6,Notebook,15.6,1366x768,Intel Core i3 6006U 2,Intel,,4.0,HDD,500.0,,,Intel HD Graphics 520,,No OS,Version Unknown,1.86,1366x768,364.9
Toshiba,Tecra A50-D-11M,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,HDD,500.0,,,Intel HD Graphics 620,,Windows,10,2.0,1920x1080,1064.0
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8,Intel,,8.0,SSD,256.0,,,AMD Radeon 530,,Windows,10,2.2,1920x1080,919.0
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8,Intel,,16.0,SSD ,256.0,HDD,2000.0,AMD Radeon 530,,Windows,10,2.2,1920x1080,1135.0
Lenovo,IdeaPad Y700-15ISK,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6,Intel,,8.0,SSD ,128.0,HDD,1000.0,Nvidia GeForce GTX 960,,Windows,10,3.31,1920x1080,1196.0
Dell,Alienware 17,Gaming,17.3,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8,Intel,,32.0,SSD ,512.0,HDD,1000.0,Nvidia GeForce GTX 1070,,Windows,10,4.42,3840x2160,3147.37
Dell,Latitude E7470,Notebook,14.0,Full HD 1920x1080,Intel Core i5 6300U 2.4,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 520,,Windows,10,1.56,1920x1080,1229.0
Lenovo,Ideapad 320-15IAP,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1,Intel,,4.0,HDD,500.0,,,Intel HD Graphics 500,,Windows,10,2.2,1366x768,419.0
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Full HD 1920x1080,Intel Core i5 6200U 2.3,Intel,,4.0,HDD,500.0,,,Intel HD Graphics 520,,Windows,10,2.2,1920x1080,535.0
HP,15-ay047nv (i3-6006U/6GB/1TB/Radeon,Notebook,15.6,1920x1080,Intel Core i3 6006U 2,Intel,,6.0,HDD,1000.0,,,AMD Radeon R5 M430,,Windows,10,2.04,1920x1080,539.0
MSI,GP72VR Leopard,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,8.0,SSD ,128.0,HDD,1000.0,Nvidia GeForce GTX 1060,,Windows,10,2.7,1920x1080,1486.77
Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i3 6100U 2.1,Intel,,4.0,SSD,128.0,,,Intel HD Graphics 520,,Windows,10,2.1,1366x768,498.0
Dell,Latitude 3580,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,HDD,1000.0,,,Intel HD Graphics 620,,Windows,10,2.06,1920x1080,955.0
HP,15-bs012nv (i7-7500U/8GB/1TB/Radeon,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7,Intel,,8.0,HDD,1000.0,,,AMD Radeon 530,,Windows,10,2.1,1920x1080,745.0
Toshiba,Tecra Z50-D-10E,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,2.0,1920x1080,1258.0
Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 6006U 2,Intel,,4.0,SSD,128.0,,,Intel HD Graphics 520,,Linux,,2.1,1366x768,412.0
Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i7 7600U 2.8,Intel,,8.0,SSD,256.0,,,Intel Iris Plus Graphics 640,,Windows,10 S,1.252,2256x1504,1867.85
Lenovo,V310-15ISK (i5-7200U/8GB/1TB,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,SSD ,128.0,HDD,1000.0,AMD Radeon R5 M430,,Windows,10,1.9,1920x1080,817.95
Lenovo,Yoga 720-13IKB,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.3,1920x1080,1034.0
Lenovo,IdeaPad 320-15AST,Notebook,15.6,1366x768,AMD E-Series E2-9000 2.2,AMD,,4.0,SSD,128.0,,,AMD Radeon R2 Graphics,,Windows,10,2.2,1366x768,349.0
HP,Pavilion X360,2 in 1 Convertible,14.0,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4,Intel,,4.0,SSD,128.0,,,Nvidia GeForce 940MX,,Windows,10,1.63,1920x1080,699.0
MSI,GP62 7RDX,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,16.0,SSD ,256.0,HDD,1000.0,Nvidia GeForce GTX 1050,,Windows,10,2.4,1920x1080,1294.0
Asus,Zenbook 3,Ultrabook,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.1,1920x1080,1135.0
HP,Chromebook X360,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1,Intel,,8.0,Flash Storage,64.0,,,Intel HD Graphics 500,,Chrome OS,,1.4,1366x768,495.0
LG,Gram 15Z975,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8,Intel,,8.0,SSD,512.0,,,Intel HD Graphics 620,,Windows,10,1.09,1920x1080,2299.0
Acer,Aspire VX5-591G,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5,Intel,,16.0,SSD,256.0,,,Nvidia GeForce GTX 1050 Ti,,Windows,10,2.5,1920x1080,1299.0
MSI,GV62M 7RD,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5,Intel,,8.0,SSD,256.0,,,Nvidia GeForce GTX 1050,,Windows,10,2.2,1920x1080,997.9
Asus,L502NA-GO052T (N3350/4GB/128GB/W10),Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1,Intel,,4.0,SSD,128.0,,,Intel HD Graphics 500,,Windows,10,1.86,1366x768,419.0
Dell,Alienware 15,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5,Intel,,16.0,SSD ,128.0,HDD,1000.0,Nvidia GeForce GTX 1060,,Windows,10,3.21,1920x1080,2051.0
HP,17-bs000nv I3,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 6006U 2,Intel,,4.0,SSD,256.0,,,AMD Radeon R5 520,,Windows,10,2.5,1920x1080,699.0
Lenovo,Yoga 730,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8,Intel,,8.0,SSD,512.0,,,Intel UHD Graphics 620,,Windows,10,1.19,1920x1080,1499.0
Dell,Alienware 15,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7820HK 2.9,Intel,,16.0,SSD ,256.0,HDD,1000.0,Nvidia GeForce GTX 1070,,Windows,10,3.49,1920x1080,2813.75
HP,250 G6,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5,Intel,,4.0,HDD,500.0,,,AMD Radeon 520,,Windows,10,1.86,1366x768,612.61
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i3 6006U 2,Intel,,4.0,HDD,1000.0,,,AMD Radeon R5 M430,,Windows,10,2.2,1366x768,545.67
HP,17-Y002nv (A10-9600P/6GB/2TB/Radeon,Notebook,17.3,IPS Panel Full HD 1920x1080,AMD A10-Series 9600P 2.4,AMD,,6.0,HDD,2000.0,,,AMD Radeon R7 M440,,Windows,10,2.65,1920x1080,569.0
Lenovo,V110-15ISK (3855U/4GB/500GB/W10),Notebook,15.6,1366x768,Intel Celeron Dual Core 3855U 1.6,Intel,,4.0,HDD,500.0,,,Intel HD Graphics 510,,Windows,10,2.1,1366x768,318.0
Acer,Chromebook 14,Notebook,14.0,1366x768,Intel Celeron Dual Core 3855U 1.6,Intel,,4.0,Flash Storage,32.0,,,Intel HD Graphics 510,,Chrome OS,,1.45,1366x768,375.0
Lenovo,IdeaPad 520s-14IKB,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,4.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.7,1920x1080,699.0
HP,ZBook 17,Workstation,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,8.0,HDD,500.0,,,Nvidia Quadro M1200,,Windows,10,3.14,1920x1080,1907.99
Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,Touchscreen 2560x1440,Intel Core i7 7500U 2.7,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.42,2560x1440,2590.0
Toshiba,Satellite Pro,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.5,1920x1080,973.0
Acer,TravelMate B117-M,Netbook,11.6,1366x768,Intel Celeron Dual Core N3050 1.6,Intel,,4.0,Flash Storage,32.0,,,Intel HD Graphics,,Windows,10,1.4,1366x768,269.0
Lenovo,Yoga 910-13IKB,2 in 1 Convertible,14.0,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7,Intel,,16.0,SSD,512.0,,,Intel HD Graphics 620,,Windows,10,1.38,1920x1080,1749.0
Asus,Chromebook Flip,2 in 1 Convertible,12.5,Full HD / Touchscreen 1920x1080,Intel Core M M3-6Y30 0.9,Intel,,4.0,Flash Storage,64.0,,,Intel HD Graphics 515,,Chrome OS,,1.2,1920x1080,669.0
Toshiba,Portege Z30T-C-133,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5,Intel,,16.0,SSD,512.0,,,Intel HD Graphics 520,,Windows,10,1.36,1920x1080,1877.0
HP,15-bs011nv (i7-7500U/4GB/500GB/Radeon,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7,Intel,,4.0,HDD,500.0,,,AMD Radeon 530,,Windows,10,2.1,1920x1080,689.0
Dell,Inspiron 5577,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5,Intel,,8.0,HDD,1000.0,,,Nvidia GeForce GTX 1050,,Windows,10,2.56,1920x1080,819.0
Lenovo,IdeaPad 320-15AST,Notebook,15.6,Full HD 1920x1080,AMD A9-Series 9420 2.9,AMD,,4.0,SSD,256.0,,,AMD Radeon 530,,Windows,10,2.2,1920x1080,399.0
Lenovo,IdeaPad 320-15ABR,Notebook,15.6,1366x768,AMD A12-Series 9720P 3.6,AMD,,8.0,HDD,1000.0,,,AMD Radeon R7,,Windows,10,2.2,1366x768,429.0
Lenovo,V310-15IKB (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,4.0,HDD ,1000.0,HDD,1000.0,Intel HD Graphics 620,,Windows,10,2.1,1920x1080,621.45
Lenovo,V310-15ISK (i3-6006U/4GB/500GB/No,Notebook,15.6,1366x768,Intel Core i3 6006U 2,Intel,,4.0,HDD,500.0,,,Intel HD Graphics 520,,No OS,Version Unknown,1.9,1366x768,450.0
Dell,Vostro 5568,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,2.18,1920x1080,795.0
Acer,Spin 5,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6,Intel,,8.0,SSD,256.0,,,Intel UHD Graphics 620,,Windows,10,1.6,1920x1080,999.0
Lenovo,ThinkPad P51s,Workstation,15.6,Full HD 1920x1080,Intel Core i7 6500U 2.5,Intel,,16.0,SSD,512.0,,,Nvidia Quadro M520M,,Windows,7,2.18,1920x1080,1855.0
Lenovo,Thinkpad T460p,Notebook,14.0,Full HD 1920x1080,Intel Core i5 6300HQ 2.3,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 520,,Windows,10,1.8,1920x1080,1191.0
HP,17-ak002nv (A10-9620P/6GB/2TB/Radeon,Notebook,17.3,IPS Panel Full HD 1920x1080,AMD A10-Series 9620P 2.5,AMD,,6.0,HDD,2000.0,,,AMD Radeon 530,,Windows,10,2.71,1920x1080,655.01
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,8.0,SSD ,128.0,HDD,1000.0,Nvidia GeForce GTX 1050 Ti,,Windows,10,2.5,1920x1080,1249.0
Dell,Latitude 5480,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7440HQ 2.8,Intel,,8.0,SSD,256.0,,,Nvidia GeForce 930MX,,Linux,,1.64,1920x1080,1089.0
Dell,Vostro 5568,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,HDD,1000.0,,,Intel HD Graphics 620,,Linux,,1.98,1920x1080,726.0
Asus,VivoBook E403NA,Notebook,14.0,Full HD 1920x1080,Intel Celeron Dual Core N3350 1.1,Intel,,4.0,Flash Storage,32.0,,,Intel HD Graphics 500,,Windows,10,1.5,1920x1080,298.0
Dell,Latitude 5580,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7300U 2.6,Intel,,16.0,SSD,512.0,,,Intel HD Graphics 620,,Windows,10,1.93,1920x1080,1426.66
Lenovo,Thinkpad E470,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,SSD,256.0,,,Nvidia GeForce 920MX,,Windows,10,1.87,1920x1080,857.07
Dell,Latitude 5580,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7300U 2.6,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.9,1920x1080,1179.0
Lenovo,110-15ACL (A6-7310/4GB/500GB/W10),Notebook,15.6,1366x768,AMD A6-Series 7310 2,AMD,,4.0,HDD,500.0,,,AMD Radeon R4,,Windows,10,2.19,1366x768,298.0
Mediacom,Smartbook 142,Notebook,14.0,IPS Panel Full HD 1920x1200,Intel Atom Z8350 1.92,Intel,,4.0,HDD,32.0,,,Intel HD Graphics 400,,Windows,10,1.4,1920x1200,265.0
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i7 7500U 2.7,Intel,,8.0,SSD,256.0,,,Nvidia GeForce 930MX,,Windows,10,2.63,1920x1080,1200.0
Lenovo,ThinkPad X1,Ultrabook,14.0,IPS Panel Quad HD+ 2560x1440,Intel Core i7 6500U 2.5,Intel,,8.0,SSD,512.0,,,Intel HD Graphics 520,,Windows,10,1.17,2560x1440,1686.64
HP,Pavilion X360,2 in 1 Convertible,13.3,IPS Panel Touchscreen 1366x768,Intel Core i5 7200U 2.5,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.58,1366x768,836.6
Lenovo,ThinkPad T470s,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.32,1920x1080,1499.0
Dell,Alienware 17,Gaming,17.3,4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8,Intel,,32.0,SSD ,1000.0,HDD,1000.0,Nvidia GeForce GTX 1070,,Windows,10,4.36,3840x2160,3659.4
MSI,GL72M 7REX,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,8.0,SSD ,128.0,HDD,1000.0,Nvidia GeForce GTX 1050 Ti,,Windows,10,2.7,1920x1080,1348.48
Lenovo,V310-15IKB (i5-7200U/4GB/1TB/No,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5,Intel,,4.0,HDD,1000.0,,,Intel HD Graphics 620,,No OS,Version Unknown,1.9,1366x768,489.9
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6,Intel,,8.0,SSD ,128.0,HDD,1000.0,AMD Radeon 530,,Windows,10,2.2,1920x1080,719.0
Dell,Inspiron 5378,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4,Intel,,4.0,HDD,1000.0,,,Intel HD Graphics 620,,Windows,10,1.71,1920x1080,649.0
Dell,Inspiron 5567,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5,Intel,,8.0,HDD,1000.0,,,AMD Radeon R7 M445,,Linux,,2.32,1366x768,589.52
HP,15-BW037na (A9-9420/4GB/1TB/Radeon,Notebook,15.6,Full HD 1920x1080,AMD A9-Series 9420 3,AMD,,4.0,HDD,1000.0,,,AMD Radeon 520,,Windows,10,2.1,1920x1080,489.0
Acer,Predator 17,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6,Intel,,16.0,SSD ,128.0,HDD,1000.0,Nvidia GeForce GTX 1060,,Windows,10,4.2,1920x1080,1935.0
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5,Intel,,12.0,HDD,1000.0,,,Intel HD Graphics 620,,Windows,10,2.25,1366x768,649.0
HP,15-BW091ND (A9-9420/6GB/1TB,Notebook,15.6,Full HD 1920x1080,AMD A9-Series A9-9420 3,AMD,,6.0,SSD ,128.0,HDD,1000.0,AMD Radeon 520,,Windows,10,2.1,1920x1080,650.0
Acer,Extensa EX2540-58KR,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5,Intel,,4.0,HDD,500.0,,,Intel HD Graphics 620,,Windows,10,2.4,1366x768,559.0
Lenovo,ThinkPad 13,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.44,1920x1080,960.0
Lenovo,V310-15IKB (i7-7500U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7,Intel,,4.0,HDD,1000.0,,,Intel HD Graphics 620,,Windows,10,1.85,1920x1080,779.0
HP,ZBook 15,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,16.0,SSD,256.0,,,Nvidia Quadro M2200,,Windows,10,2.6,1920x1080,2419.0
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6,Intel,,8.0,HDD,1000.0,,,Intel UHD Graphics 620,,Windows,10,1.55,1920x1080,659.0
MSI,GS63VR 7RF,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,16.0,SSD ,256.0,HDD,1000.0,Nvidia GeForce GTX 1060,,Windows,10,1.8,1920x1080,2094.48
Acer,Aspire ES1-572,Notebook,15.6,1366x768,Intel Core i3 6006U 2,Intel,,4.0,HDD,500.0,,,Intel HD Graphics 520,,Windows,10,2.4,1366x768,410.8
Dell,Inspiron 7560,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7,Intel,,8.0,SSD ,128.0,HDD,1000.0,Nvidia GeForce 940MX,,Windows,10,2.0,1920x1080,1207.0
Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i3 6006U 2,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 520,,Windows,10,2.0,1366x768,665.0
Toshiba,Tecra X40-D-10G,Notebook,14.0,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.25,1920x1080,1535.0
Lenovo,Flex 5,2 in 1 Convertible,14.0,Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.7,1920x1080,999.0
Lenovo,Thinkpad P51s,Workstation,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7600U 2.8,Intel,,16.0,SSD,1000.0,,,Nvidia Quadro M520M,,Windows,10,2.5,3840x2160,3299.0
Acer,Chromebook 14,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6,Intel,,2.0,Flash Storage,32.0,,,Intel HD Graphics 400,,Chrome OS,,1.68,1366x768,330.0
Samsung,Notebook 9,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 7500U 2.7,Intel,,16.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,0.81,1920x1080,1649.0
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 520,,Windows,10,1.86,1920x1080,539.0
Dell,Latitude 5480,Notebook,14.0,1366x768,Intel Core i5 7200U 2.5,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.6,1366x768,1126.71
HP,Zbook 17,Workstation,17.3,IPS Panel Full HD 1920x1080,Intel Xeon E3-1535M v5 2.9,Intel,,16.0,SSD,256.0,,,Nvidia Quadro M2000M,,Windows,7,3.0,1920x1080,4389.0
Lenovo,N23 (N3060/4GB/128GB/W10),Netbook,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3060 1.6,Intel,,4.0,SSD,128.0,,,Intel HD Graphics 400,,Windows,10,1.4,1366x768,475.0
HP,EliteBook 850,Notebook,15.6,Full HD 1920x1080,Intel Core i5 6300U 2.4,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 520,,Windows,10,1.84,1920x1080,1900.0
